Card#,Artist,Title,Year,YouTube Music URL
38,Meat Loaf,Paradise By the Dashboard Light,1978,https://music.youtube.com/watch?v=C11MzbEcHlw
46,Kelly Rowland,Dilemma (feat. Kelly Rowland) Nelly,2002,https://music.youtube.com/watch?v=8WYHDfJDPDc
51,Joseito Fernandez,Guajira Guantanamera,1929,https://music.youtube.com/watch?v=SVMyUUTfk80
77,"Avicii, Sandro Cavazza",Without You (feat. Sandro Cavazza),2017,https://music.youtube.com/watch?v=As_4JTmHuW4
129,Celine Dion,My Heart Will Go On,1997,https://music.youtube.com/watch?v=9bFHsd3o1w0
132,Robbie Williams,Feel,2002,https://music.youtube.com/watch?v=iy4mXZN1Zzk
152,Spice Girls,Stop,1998,https://music.youtube.com/watch?v=5JD6ejmlpa8
183,Coldplay,Talk,2005,https://music.youtube.com/watch?v=EH9meoWmAOM
200,Danny & The Juniors,At The Hop,1957,https://music.youtube.com/watch?v=SEPvoNA1OGw
207,Connie Francis,Schöner fremder Mann,1964,https://music.youtube.com/watch?v=X6OUwtI9J5E
221,Bryan Adams,Heaven,1985,https://music.youtube.com/watch?v=s6TtwR2Dbjg
241,Vaya Con Dios,Nah Neh Nah,1990,https://music.youtube.com/watch?v=VMakqYyrd3s
256,Annie Lennox,Why,1992,https://music.youtube.com/watch?v=HG7I4oniOyA
275,Linda Ronstadt,Blue Bayou,1977,https://music.youtube.com/watch?v=IDBVW4BXZPo
277,MadHouse,Like a Prayer,2002,https://music.youtube.com/watch?v=4v2SXG_fkWg
285,Shakira,Waka Waka (This Time for Africa) ft. Freshlyground,2010,https://music.youtube.com/watch?v=Ntn1-SocNiY
301,Imagine Dragons,Thunder,2017,https://music.youtube.com/watch?v=fKopy74weus
