Artist,Title,Year,YouTube URL
Rudi Carrell,Wann wird's mal wieder richtig Sommer,1975,https://www.youtube.com/watch?v=KzEOvyDcVas
Paul Simon,You Can Call Me Al,1986,https://www.youtube.com/watch?v=uq-gYOrU8bA
The Rolling Stones,Start Me Up,1981,https://www.youtube.com/watch?v=SGyOaCXr8Lw
Chubby Checker,The Twist,1960,https://www.youtube.com/watch?v=-CCgDvUM4TM
Robin Thicke feat. T.I. & Pharrell Williams,Blurred Lines,2013,https://www.youtube.com/watch?v=yyDUC1LUXSU
"Taio Cruz, Flo Rida",Hangover,2011,https://www.youtube.com/watch?v=dLhFDYQHDQY
Daft Punk,One More Time,2000,https://www.youtube.com/watch?v=FGBhQbmPwH8
T'Pau,China In Your Hand,1987,https://www.youtube.com/watch?v=T4sV3lqzKqQ
Tina Turner,The Best,1989,https://www.youtube.com/watch?v=GC5E8ie2pdM
Van McCoy & The Soul City Symphony,The Hustle,1975,https://www.youtube.com/watch?v=SFzMs2SN--s
Erma Franklin,Piece of My Heart,1967,https://youtu.be/L0QAxIKf8G4?t=16
Eric Carmen,Hungry Eyes,1987,https://www.youtube.com/watch?v=2ssCL292DQA
Culture Club,Karma Chameleon,1983,https://www.youtube.com/watch?v=JmcA9LIIXWw
Nena,99 Luftballons,1983,https://www.youtube.com/watch?v=Fpu5a0Bl8eY
Torfrock,Beinhart,1990,https://www.youtube.com/watch?v=Pmi0XqTlEY8
50 Cent,In Da Club,2003,https://www.youtube.com/watch?v=5qm8PH4xAss
Yazoo,Don't Go,1982,https://www.youtube.com/watch?v=_sQGwDeambg
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),1987,https://www.youtube.com/watch?v=LX366rnYTB4
Lukas Graham,7 Years,2015,https://www.youtube.com/watch?v=LHCob76kigA
Peter Kraus,Sugar-Baby,1958,https://www.youtube.com/watch?v=-9R3_53qe08
Major Lazer & DJ Snake,Lean On (feat. MØ),2015,https://www.youtube.com/watch?v=YqeW9_5kURI
CRO,Einmal um die Welt,2012,https://www.youtube.com/watch?v=u2pySXCmwpc
Trude Herr,Ich will keine Schokolade,1960,https://www.youtube.com/watch?v=2OqgIupSf5k
Max Giesinger,80 Millionen,2016,https://www.youtube.com/watch?v=uC08L4xxjNM
The Cure,Friday I'm In Love,1992,https://www.youtube.com/watch?v=mGgMZpGYiy8
Haddaway,What Is Love,1993,https://www.youtube.com/watch?v=HEXWRTEbj1I
Andreas Bourani,Auf uns,2014,https://www.youtube.com/watch?v=k9EYjn5f_nE
Journey,Don't Stop Believin',1981,https://www.youtube.com/watch?v=1k8craCGpgs
Enya,Orinoco Flow,1988,https://www.youtube.com/watch?v=LTrk4X9ACtw
Reinhard Mey,Über den Wolken,1974,https://www.youtube.com/watch?v=fZMFF8QH3ew
Amy Winehouse,Rehab,2006,https://www.youtube.com/watch?v=KUmZp8pR1uc
Siw Malmkvist,Liebeskummer lohnt sich nicht,1964,https://www.youtube.com/watch?v=mUUJxMiznfc
Sylvester,You Make Me Feel (Mighty Real),1978,https://www.youtube.com/watch?v=gD6cPE2BHic
Lynyrd Skynyrd,Sweet Home Alabama,1974,https://www.youtube.com/watch?v=-35W_FWCT9Q
The Hollies,He Ain't Heavy He's My Brother,1969,https://www.youtube.com/watch?v=eUWZqbumaZo
Jürgen Marcus,Eine neue Liebe ist wie ein neues Leben,1972,https://www.youtube.com/watch?v=TGMSNWOzhtM
The Bangles,Manic Monday,1986,https://www.youtube.com/watch?v=SsmVgoXDq2w
Meat Loaf,Paradise By the Dashboard Light,1978,https://www.youtube.com/watch?v=C11MzbEcHlw
Limahl,Never Ending Story,1984,https://www.youtube.com/watch?v=Gf1WT8VEZxk
Red Hot Chili Peppers,Under the Bridge,1992,https://www.youtube.com/watch?v=GLvohMXgcBo
Rio Reiser,König von Deutschland,1986,https://www.youtube.com/watch?v=BzGHhaMUqSQ
Diana Ross,Upside Down,1980,https://www.youtube.com/watch?v=lZ9OP5dzkQg
No Doubt,Don't Speak,1996,https://www.youtube.com/watch?v=TR3Vdo5etCQ
The Rolling Stones,(I Can't Get No) Satisfaction,1965,https://www.youtube.com/watch?v=nrIPxlFzDi0
Kelly Rowland,Dilemma (feat. Kelly Rowland) Nelly,2002,https://www.youtube.com/watch?v=8WYHDfJDPDc
The Kinks,Lola,1970,https://www.youtube.com/watch?v=LemG0cvc4oU
Captain Jack,Captain Jack,1995,https://www.youtube.com/watch?v=0Bb_w7nOBwg
Cyndi Lauper,True Colors,1986,https://www.youtube.com/watch?v=LPn0KFlbqX8
Outkast,Hey Ya!,2003,https://www.youtube.com/watch?v=ubk1skSE9OA
Joseito Fernandez,Guajira Guantanamera,1929,https://www.youtube.com/watch?v=SVMyUUTfk80
Anastacia,Sick and Tired,2004,https://www.youtube.com/watch?v=HzfyCuPVpCY
Chicago,If You Leave Me Now,1976,https://www.youtube.com/watch?v=-9_d-sFhmRM
Udo Jürgens,"Siebzehn Jahr, blondes Haar",1965,https://www.youtube.com/watch?v=1_ReKoTY8eY
Sophie Ellis-Bextor,Murder On The Dancefloor,2001,https://www.youtube.com/watch?v=hAx6mYeC6pY
Dr. Alban,Sing Hallelujah!,1993,https://www.youtube.com/watch?v=pKxJca7LLNM
Adele,Set Fire to the Rain,2011,https://www.youtube.com/watch?v=a2giXO6eyuI
Blümchen,Herz an Herz,1996,https://www.youtube.com/watch?v=eGUsqIPurNQ
Die Toten Hosen,Tage Wie diese,2012,https://www.youtube.com/watch?v=j09hpp3AxIE
Neil Diamond,Sweet Caroline,1969,https://www.youtube.com/watch?v=4F_RCWVoL4s
Manfred Mann,Do Wah Diddy Diddy,1964,https://www.youtube.com/watch?v=1UingsUi0mI
Karat,Über sieben Brücken musst du gehn,1978,https://www.youtube.com/watch?v=28MMYPoG8ag
Thelma Houston,Don't Leave Me This Way,1976,https://www.youtube.com/watch?v=rUdw7V-FC_Q
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),2011,https://www.youtube.com/watch?v=96L5sV7rqX0
Enrique Iglesias,Do You Know? (The Ping Pong Song),2007,https://www.youtube.com/watch?v=UqON44CLaQM
Tic Tac Toe,Warum?,1997,https://www.youtube.com/watch?v=S2lWV74yZ5o
Eddy Grant,Gimme Hope Jo'Anna,1988,https://www.youtube.com/watch?v=3P-imA4618Y
Scorpions,Wind of Change,1991,https://www.youtube.com/watch?v=n4RjJKxsamQ
CHIC,Le Freak,1978,https://www.youtube.com/watch?v=aXgSHL7efKg
Peter Fox,Haus am See,2008,https://www.youtube.com/watch?v=j-XKgB5guDQ
Lady Gaga,Poker Face,2008,https://www.youtube.com/watch?v=bESGLojNYSo
Bonnie Tyler,It's a Heartache,1977,https://www.youtube.com/watch?v=bEOl38y8Nj8
Chuck Berry,Johnny B. Goode,1958,https://www.youtube.com/watch?v=Y-9Y4CCIWnM
Billy Idol,White Wedding,1982,https://www.youtube.com/watch?v=AAZQaYKZMTI
Enrico Caruso,"Rigoletto: """"La Donna E' Mobile""""",1908,https://www.youtube.com/watch?v=RZNkoRb2iLQ
"Avicii, Sandro Cavazza",Without You (feat. Sandro Cavazza),2017,https://www.youtube.com/watch?v=As_4JTmHuW4
Gipsy Kings,Volare (Nel Blu di Pinto di Blu),1989,https://www.youtube.com/watch?v=X8TOhb_4jU0
Plastic Bertrand,Ca plane pour moi,1977,https://www.youtube.com/watch?v=8soQkubMk1g
Patrick Hernandez,Born to Be Alive,1978,https://www.youtube.com/watch?v=9UaJAnnipkY
Led Zeppelin,Whole Lotta Love,1969,https://www.youtube.com/watch?v=HibBnC6SVk8
Sportfreunde Stiller,Ein Kompliment,2002,https://www.youtube.com/watch?v=C4uXGzFZjqw
Glenn Miller,In the Mood,1939,https://www.youtube.com/watch?v=_CI-0E_jses
Wolfgang Petry,Wahnsinn,1983,https://www.youtube.com/watch?v=ExgfgiW-BJI
OneRepublic,Counting Stars,2013,https://www.youtube.com/watch?v=hT_nvWreIhg
O-Zone,Dragostea din tei,2003,https://www.youtube.com/watch?v=YnopHCL1Jk8
R.E.M.,Everybody Hurts,1992,https://www.youtube.com/watch?v=5rOiW_xY-kc
"Pink, Nate Ruess",Just Give Me a Reason (feat. Nate Ruess),2013,https://www.youtube.com/watch?v=OpQFFLBMEPI
Roxette,Joyride,1991,https://www.youtube.com/watch?v=xCorJG9mubk
